,Company,Year,Quarter,Assets L1,Assets L2,Value
0,Total Canadian P&C,2020,Q3,Cash and Cash Equivalents,Cash and Cash Equivalents,"4,479,506"
1,Total Canadian P&C,2020,Q3,Investment Income Due and Accrued,Investment Income Due and Accrued,"280,659"
2,Total Canadian P&C,2020,Q3,Assets held for sale,Assets held for sale,763
3,Total Canadian P&C,2020,Q3,Investments,Short Term Investments,"2,328,123"
4,Total Canadian P&C,2020,Q3,Investments,Bonds and Debentures,"41,885,715"
5,Total Canadian P&C,2020,Q3,Investments,Mortgage Loans,"1,093,870"
6,Total Canadian P&C,2020,Q3,Investments,Preferred Shares,"2,452,082"
7,Total Canadian P&C,2020,Q3,Investments,Common Shares,"4,628,603"
8,Total Canadian P&C,2020,Q3,Investments,Investment Properties,"335,834"
9,Total Canadian P&C,2020,Q3,Investments,Other Loans and Invested Assets,"13,002,062"
10,Total Canadian P&C,2020,Q3,Receivables,Unaffiliated Agents and Brokers,"1,633,750"
11,Total Canadian P&C,2020,Q3,Receivables,Policyholders,"302,354"
12,Total Canadian P&C,2020,Q3,Receivables,Instalment Premiums,"12,825,055"
13,Total Canadian P&C,2020,Q3,Receivables,Other Insurers,"643,975"
14,Total Canadian P&C,2020,Q3,Receivables,"Facility Association and the ""P.R.R."" ","404,711"
15,Total Canadian P&C,2020,Q3,Receivables,"Subsidiaries, Associates & Joint Ventures","667,597"
16,Total Canadian P&C,2020,Q3,Receivables,Other Receivables,"379,849"
17,Total Canadian P&C,2020,Q3,Receivables from Reinsurers,Unearned Premiums,"5,111,202"
18,Total Canadian P&C,2020,Q3,Receivables from Reinsurers,Unpaid Claims and Adjustment Expenses,"18,995,163"
19,Total Canadian P&C,2020,Q3,Other Recoverables on Unpaid Claims,Other Recoverables on Unpaid Claims,"567,928"
20,Total Canadian P&C,2020,Q3,Investments Accounted for Using the Equity Method,"Interests in Subsidiaries, Associates & Joint Ventures","443,574"
21,Total Canadian P&C,2020,Q3,Investments Accounted for Using the Equity Method,Pooled Funds,"8,485,464"
22,Total Canadian P&C,2020,Q3,Property and Equipment,Property and Equipment,"786,657"
23,Total Canadian P&C,2020,Q3,Deferred Policy Acquisition Expenses,Deferred Policy Acquisition Expenses,"4,890,311"
24,Total Canadian P&C,2020,Q3,Current Tax Assets,Current Tax Assets,"102,988"
25,Total Canadian P&C,2020,Q3,Deferred Tax Assets,Deferred Tax Assets,"1,089,223"
