Company,Year,Quarter,Assets L1,Assets L2,Value
Total Canadian P&C,2020,Q3,Cash and Cash Equivalents,Cash and Cash Equivalents,4479506
Total Canadian P&C,2020,Q3,Investment Income Due and Accrued,Investment Income Due and Accrued,280659
Total Canadian P&C,2020,Q3,Assets held for sale,Assets held for sale,763
Total Canadian P&C,2020,Q3,Investments,Short Term Investments,2328123
Total Canadian P&C,2020,Q3,Investments,Bonds and Debentures,41885715
Total Canadian P&C,2020,Q3,Investments,Mortgage Loans,1093870
Total Canadian P&C,2020,Q3,Investments,Preferred Shares,2452082
Total Canadian P&C,2020,Q3,Investments,Common Shares,4628603
Total Canadian P&C,2020,Q3,Investments,Investment Properties,335834
Total Canadian P&C,2020,Q3,Investments,Other Loans and Invested Assets,13002062
Total Canadian P&C,2020,Q3,Receivables,Unaffiliated Agents and Brokers,1633750
Total Canadian P&C,2020,Q3,Receivables,Policyholders,302354
Total Canadian P&C,2020,Q3,Receivables,Instalment Premiums,12825055
Total Canadian P&C,2020,Q3,Receivables,Other Insurers,643975
Total Canadian P&C,2020,Q3,Receivables,"Facility Association and the ""P.R.R."" ",404711
Total Canadian P&C,2020,Q3,Receivables,"Subsidiaries, Associates & Joint Ventures",667597
Total Canadian P&C,2020,Q3,Receivables,Other Receivables,379849
Total Canadian P&C,2020,Q3,Receivables from Reinsurers,Unearned Premiums,5111202
Total Canadian P&C,2020,Q3,Receivables from Reinsurers,Unpaid Claims and Adjustment Expenses,18995163
Total Canadian P&C,2020,Q3,Other Recoverables on Unpaid Claims,Other Recoverables on Unpaid Claims,567928
Total Canadian P&C,2020,Q3,Investments Accounted for Using the Equity Method,"Interests in Subsidiaries, Associates & Joint Ventures",443574
Total Canadian P&C,2020,Q3,Investments Accounted for Using the Equity Method,Pooled Funds,8485464
Total Canadian P&C,2020,Q3,Property and Equipment,Property and Equipment,786657
Total Canadian P&C,2020,Q3,Deferred Policy Acquisition Expenses,Deferred Policy Acquisition Expenses,4890311
Total Canadian P&C,2020,Q3,Current Tax Assets,Current Tax Assets,102988
Total Canadian P&C,2020,Q3,Deferred Tax Assets,Deferred Tax Assets,1089223
Total Canadian P&C,2020,Q3,Goodwill,Goodwill,1531295
Total Canadian P&C,2020,Q3,Intangible Assets,Intangible Assets,2178784
