,Company,Year,Quarter,OCI L4,OCI L5,Value
0,Total Canadian P&C,2020,Q1,0,Net Income,48867
1,Total Canadian P&C,2020,Q1,FVOCI, Loans,90
2,Total Canadian P&C,2020,Q1,FVOCI, Bonds and Debentures,68754
3,Total Canadian P&C,2020,Q1,FVOCI, Equities (IAS 39),1184118
4,Total Canadian P&C,2020,Q1,FVOCI,Reclassification of (Gains) Losses to Net Income,13779
5,Total Canadian P&C,2020,Q1,Overlay Approach,Unrealized Gains and Losses,190593
6,Total Canadian P&C,2020,Q1,Overlay Approach,Reclassification of (Gains) Losses from Net Income,18501
7,Total Canadian P&C,2020,Q1,Derivatives designated as cash flow hedges,Changes in Unrealized Gains and Losses,0
8,Total Canadian P&C,2020,Q1,FVOCI,Reclassification of (Gains) Losses to Net Income,0
9,Total Canadian P&C,2020,Q1,FX Translation,Change in Unrealized Gains and Losses,39811
10,Total Canadian P&C,2020,Q1,FX Translation,Impact of Hedging,143982
11,Total Canadian P&C,2020,Q1,OCI Share from Subsidaries/Associates/JVs,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures (may be reclassified)",21976
12,Total Canadian P&C,2020,Q1,Other,Other,142199
13,Total Canadian P&C,2020,Q1,FVOCI,Subtotal of items that may be reclassified subsequently to Net Income,1285093
14,Total Canadian P&C,2020,Q1,Revaluation Surplus, Equities (IFRS 9),8540
15,Total Canadian P&C,2020,Q1,OCI Share from Subsidaries/Associates/JVs,Revaluation Surplus,0
16,Total Canadian P&C,2020,Q1,DBP Remeasurements,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures",0
17,Total Canadian P&C,2020,Q1,Other,Remeasurements of Defined Benefit Plans,166412
18,Total Canadian P&C,2020,Q1,N/A,Other,9456
19,Total Canadian P&C,2020,Q1,N/A,Equity Holders,1051818
20,Total Canadian P&C,2020,Q1,FVOCI, Loans,156
21,Total Canadian P&C,2020,Q1,FVOCI, Bonds and Debentures,368802
22,Total Canadian P&C,2020,Q1,FVOCI, Equities (IAS 39),802299
23,Total Canadian P&C,2020,Q1,FX Translation,Foreign Currency (Net of Hedging Activities),75886
24,Total Canadian P&C,2020,Q1,OCI Share from Subsidaries/Associates/JVs,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures (may be reclassified)",4939
25,Total Canadian P&C,2020,Q1,Other,Other,193435
26,Total Canadian P&C,2020,Q1,FVOCI, Equities (IFRS 9),8978
27,Total Canadian P&C,2020,Q1,Revaluation Surplus,Revaluation Surplus,0
28,Total Canadian P&C,2020,Q1,OCI Share from Subsidaries/Associates/JVs,"Share of Other Comprehensive Income of Subsidiaries, Associates & Joint Ventures",0
29,Total Canadian P&C,2020,Q1,DBP Remeasurements,Remeasurements of Defined Benefit Plans,191267
30,Total Canadian P&C,2020,Q1,Other,Other,42043
0,Total Canadian P&C,2020,Q2,0,Net Income,553807
1,Total Canadian P&C,2020,Q2,FVOCI, Loans,-76
2,Total Canadian P&C,2020,Q2,FVOCI, Bonds and Debentures,690546
3,Total Canadian P&C,2020,Q2,FVOCI, Equities (IAS 39),-576161
4,Total Canadian P&C,2020,Q2,FVOCI,Reclassification of (Gains) Losses to Net Income,72277
5,Total Canadian P&C,2020,Q2,Overlay Approach,Unrealized Gains and Losses,-96198
6,Total Canadian P&C,2020,Q2,Overlay Approach,Reclassification of (Gains) Losses from Net Income,5919
7,Total Canadian P&C,2020,Q2,Derivatives designated as cash flow hedges,Changes in Unrealized Gains and Losses,0
