,Company,Year,Quarter,Capital L1,Capital L2,Capital L3,Value
0,Total Canadian P&C,2020,Q3,Capital Available,Total Capital Available,Capital available (from page 30.62  capital available),"22,978,178"
1,Total Canadian P&C,2020,Q3,Capital Available,Total Capital Available,Other,0
2,Total Canadian P&C,2020,Q3,Assets Available,Assets Available,Net Assets Available (from page 30.92  net assets available),0
3,Total Canadian P&C,2020,Q3,Capital Available,Total Capital Available,Other,0
4,Total Canadian P&C,2020,Q3,Capital Margin Required,Insurance Risk,Premium liabilities,"3,059,163"
5,Total Canadian P&C,2020,Q3,Capital Margin Required,Insurance Risk,Unpaid claims,"5,419,921"
6,Total Canadian P&C,2020,Q3,Capital Margin Required,Insurance Risk,Catastrophes,"106,461"
7,Total Canadian P&C,2020,Q3,Capital Margin Required,Insurance Risk,Margin required for reinsurance ceded to unregistered insurers,"110,877"
8,Total Canadian P&C,2020,Q3,Capital Margin Required,Market Risk,Interest rate risk,"837,755"
9,Total Canadian P&C,2020,Q3,Capital Margin Required,Market Risk,Foreign exchange risk,"200,508"
10,Total Canadian P&C,2020,Q3,Capital Margin Required,Market Risk,Equity risk,"2,049,200"
11,Total Canadian P&C,2020,Q3,Capital Margin Required,Market Risk,Real estate risk,"113,716"
12,Total Canadian P&C,2020,Q3,Capital Margin Required,Market Risk,Other market risk exposures,"43,020"
13,Total Canadian P&C,2020,Q3,Capital Margin Required,Credit Risk,Counterparty default risk for balance sheet assets,"1,579,500"
14,Total Canadian P&C,2020,Q3,Capital Margin Required,Credit Risk,Counterparty default risk for offbalance sheet exposures,"91,070"
15,Total Canadian P&C,2020,Q3,Capital Margin Required,Credit Risk,Counterparty default risk for unregistered reinsurance collateral and SIRs,"72,199"
16,Total Canadian P&C,2020,Q3,Capital Margin Required,Operational Risk,Operational risk margin,"2,632,780"
17,Total Canadian P&C,2020,Q3,Diversification Credit,Diversification Credit,Less: Diversification credit,"1,573,257"
18,Total Canadian P&C,2020,Q3,Minimum Capital Required,Minimum Capital Required,Minimum Capital (Margin) Required (line 59 / 1.5),"9,828,609"
19,Total Canadian P&C,2020,Q3,Capital Available,Total Capital Available,Other,0
0,Total Canadian P&C,2020,Q2,Capital Available,Total Capital Available,Capital available (from page 30.62  capital available),"21,838,212"
1,Total Canadian P&C,2020,Q2,Capital Available,Total Capital Available,Other,0
2,Total Canadian P&C,2020,Q2,Assets Available,Assets Available,Net Assets Available (from page 30.92  net assets available),0
3,Total Canadian P&C,2020,Q2,Capital Available,Total Capital Available,Other,0
4,Total Canadian P&C,2020,Q2,Capital Margin Required,Insurance Risk,Premium liabilities,"2,963,315"
5,Total Canadian P&C,2020,Q2,Capital Margin Required,Insurance Risk,Unpaid claims,"5,277,147"
6,Total Canadian P&C,2020,Q2,Capital Margin Required,Insurance Risk,Catastrophes,"106,472"
7,Total Canadian P&C,2020,Q2,Capital Margin Required,Insurance Risk,Margin required for reinsurance ceded to unregistered insurers,"148,954"
8,Total Canadian P&C,2020,Q2,Capital Margin Required,Market Risk,Interest rate risk,"828,160"
9,Total Canadian P&C,2020,Q2,Capital Margin Required,Market Risk,Foreign exchange risk,"178,542"
10,Total Canadian P&C,2020,Q2,Capital Margin Required,Market Risk,Equity risk,"2,006,054"
11,Total Canadian P&C,2020,Q2,Capital Margin Required,Market Risk,Real estate risk,"113,598"
12,Total Canadian P&C,2020,Q2,Capital Margin Required,Market Risk,Other market risk exposures,"45,020"
13,Total Canadian P&C,2020,Q2,Capital Margin Required,Credit Risk,Counterparty default risk for balance sheet assets,"1,537,087"
14,Total Canadian P&C,2020,Q2,Capital Margin Required,Credit Risk,Counterparty default risk for offbalance sheet exposures,"90,786"
15,Total Canadian P&C,2020,Q2,Capital Margin Required,Credit Risk,Counterparty default risk for unregistered reinsurance collateral and SIRs,"65,775"
16,Total Canadian P&C,2020,Q2,Capital Margin Required,Operational Risk,Operational risk margin,"2,587,714"
17,Total Canadian P&C,2020,Q2,Diversification Credit,Diversification Credit,Less: Diversification credit,"1,536,476"
18,Total Canadian P&C,2020,Q2,Minimum Capital Required,Minimum Capital Required,Minimum Capital (Margin) Required (line 59 / 1.5),"9,608,100"
19,Total Canadian P&C,2020,Q2,Capital Available,Total Capital Available,Other,0
0,Total Canadian P&C,2020,Q1,Capital Available,Total Capital Available,Capital available (from page 30.62  capital available),"20,576,760"
1,Total Canadian P&C,2020,Q1,Capital Available,Total Capital Available,Other,0
