,Company,Year,Quarter,SOI L1,SOI L2,SOI L3,Value
0,Total Canadian P&C,2020,Q1,Revenue,Premiums Written,Direct,10366666
1,Total Canadian P&C,2020,Q1,Revenue,Premiums Written,Reinsurance Assumed,1469635
2,Total Canadian P&C,2020,Q1,Cost,Premiums Written,Reinsurance Ceded,3161115
3,Total Canadian P&C,2020,Q1,Revenue,Net Premiums Written,Decrease (Increase) in Unearned Premiums,1254280
4,Total Canadian P&C,2020,Q1,Revenue,Net Premiums Earned,Service Charges ,49012
5,Total Canadian P&C,2020,Q1,Revenue,Net Premiums Earned,Other ,1896
6,Total Canadian P&C,2020,Q1,Cost,Gross Claims,Gross Claims and Adjustment Expenses,9369009
7,Total Canadian P&C,2020,Q1,Revenue,Reinsurers' Share of Claims,Reinsurers' Share of Claims and Adjustment Expenses,2384218
8,Total Canadian P&C,2020,Q1,Cost,Acquisition Expenses,Gross Commissions,2179312
9,Total Canadian P&C,2020,Q1,Revenue,Acquisition Expenses,Ceded Commissions,707988
10,Total Canadian P&C,2020,Q1,Cost,Acquisition Expenses,Taxes,382944
11,Total Canadian P&C,2020,Q1,Cost,Acquisition Expenses,Other ,313876
12,Total Canadian P&C,2020,Q1,Cost,General Expenses,General Expenses ,848145
13,Total Canadian P&C,2020,Q1,Cost,Premium Deficiency Adjustments,Premium Deficiency Adjustments ,0
14,Total Canadian P&C,2020,Q1,Investment Income,Investment Operations,Income,404176
15,Total Canadian P&C,2020,Q1,Investment Income,Investment Operations,Gains (Losses) from FVO or FVTPL,797796
16,Total Canadian P&C,2020,Q1,Investment Income,Investment Operations,Realized Gains (Losses),341018
17,Total Canadian P&C,2020,Q1,Investment Costs,Investment Operations,Expenses,27852
18,Total Canadian P&C,2020,Q1,Other Revenue,Other Revenue/Expenses,Income (Loss) from Ancillary Operations net of Expenses ,9380
19,Total Canadian P&C,2020,Q1,Other Revenue,Other Revenue/Expenses,"Share of Net Income (Loss) of Subsidiaries, Associates & Joint Ventures",8878
20,Total Canadian P&C,2020,Q1,Other Revenue,Other Revenue/Expenses,Overlay approach adjustment for financial instruments (Reclass from P&L to OCI),234005
21,Total Canadian P&C,2020,Q1,Other Revenue,Other Revenue/Expenses,Share of Net Income (Loss) of Pooled Funds using Equity Method,25938
22,Total Canadian P&C,2020,Q1,Other Revenue,Other Revenue/Expenses,Gains (Losses) from Fluctuations in Foreign Exchange Rates ,84006
23,Total Canadian P&C,2020,Q1,Other Revenue,Other Revenue/Expenses,Other Revenues,82613
24,Total Canadian P&C,2020,Q1,Other Costs,Other Revenue/Expenses,Finance Costs,4985
25,Total Canadian P&C,2020,Q1,Other Costs,Other Revenue/Expenses,Other Expenses,27901
26,Total Canadian P&C,2020,Q1,Tax,Tax,Current,97093
27,Total Canadian P&C,2020,Q1,Tax,Tax,Deferred,92596
28,Total Canadian P&C,2020,Q1,Non-controlling Interest,Equity Breakdown,Noncontrolling Interests,0
29,Total Canadian P&C,2020,Q1,Equity Holders,Equity Breakdown,Equity Holders,48867
0,Total Canadian P&C,2020,Q2,Revenue,Premiums Written,Direct,12885442
1,Total Canadian P&C,2020,Q2,Revenue,Premiums Written,Reinsurance Assumed,1670363
2,Total Canadian P&C,2020,Q2,Cost,Premiums Written,Reinsurance Ceded,3416922
3,Total Canadian P&C,2020,Q2,Revenue,Net Premiums Written,Decrease (Increase) in Unearned Premiums,-1048814
4,Total Canadian P&C,2020,Q2,Revenue,Net Premiums Earned,Service Charges ,48189
5,Total Canadian P&C,2020,Q2,Revenue,Net Premiums Earned,Other ,8175
6,Total Canadian P&C,2020,Q2,Cost,Gross Claims,Gross Claims and Adjustment Expenses,9530319
7,Total Canadian P&C,2020,Q2,Revenue,Reinsurers' Share of Claims,Reinsurers' Share of Claims and Adjustment Expenses,2724652
8,Total Canadian P&C,2020,Q2,Cost,Acquisition Expenses,Gross Commissions,2190395
9,Total Canadian P&C,2020,Q2,Revenue,Acquisition Expenses,Ceded Commissions,722353
10,Total Canadian P&C,2020,Q2,Cost,Acquisition Expenses,Taxes,378948
11,Total Canadian P&C,2020,Q2,Cost,Acquisition Expenses,Other ,453965
12,Total Canadian P&C,2020,Q2,Cost,General Expenses,General Expenses ,941498
13,Total Canadian P&C,2020,Q2,Cost,Premium Deficiency Adjustments,Premium Deficiency Adjustments ,450
14,Total Canadian P&C,2020,Q2,Investment Income,Investment Operations,Income,531223
15,Total Canadian P&C,2020,Q2,Investment Income,Investment Operations,Gains (Losses) from FVO or FVTPL,-663030
16,Total Canadian P&C,2020,Q2,Investment Income,Investment Operations,Realized Gains (Losses),-187880
17,Total Canadian P&C,2020,Q2,Investment Costs,Investment Operations,Expenses,27071
18,Total Canadian P&C,2020,Q2,Other Revenue,Other Revenue/Expenses,Income (Loss) from Ancillary Operations net of Expenses ,-2910
19,Total Canadian P&C,2020,Q2,Other Revenue,Other Revenue/Expenses,"Share of Net Income (Loss) of Subsidiaries, Associates & Joint Ventures",-1804
20,Total Canadian P&C,2020,Q2,Other Revenue,Other Revenue/Expenses,Overlay approach adjustment for financial instruments (Reclass from P&L to OCI),-138928
21,Total Canadian P&C,2020,Q2,Other Revenue,Other Revenue/Expenses,Share of Net Income (Loss) of Pooled Funds using Equity Method,163477
22,Total Canadian P&C,2020,Q2,Other Revenue,Other Revenue/Expenses,Gains (Losses) from Fluctuations in Foreign Exchange Rates ,-39681
23,Total Canadian P&C,2020,Q2,Other Revenue,Other Revenue/Expenses,Other Revenues,-71994
24,Total Canadian P&C,2020,Q2,Other Costs,Other Revenue/Expenses,Finance Costs,4762
25,Total Canadian P&C,2020,Q2,Other Costs,Other Revenue/Expenses,Other Expenses,82199
26,Total Canadian P&C,2020,Q2,Tax,Tax,Current,81609
27,Total Canadian P&C,2020,Q2,Tax,Tax,Deferred,-55106
28,Total Canadian P&C,2020,Q2,Non-controlling Interest,Equity Breakdown,Noncontrolling Interests,0
29,Total Canadian P&C,2020,Q2,Equity Holders,Equity Breakdown,Equity Holders,553807
0,Total Canadian P&C,2020,Q2,Revenue,Premiums Written,Direct,10366666
1,Total Canadian P&C,2020,Q2,Revenue,Premiums Written,Reinsurance Assumed,1469635
2,Total Canadian P&C,2020,Q2,Cost,Premiums Written,Reinsurance Ceded,3161115
3,Total Canadian P&C,2020,Q2,Revenue,Net Premiums Written,Decrease (Increase) in Unearned Premiums,1254280
4,Total Canadian P&C,2020,Q2,Revenue,Net Premiums Earned,Service Charges ,49012
5,Total Canadian P&C,2020,Q2,Revenue,Net Premiums Earned,Other ,1896
6,Total Canadian P&C,2020,Q2,Cost,Gross Claims,Gross Claims and Adjustment Expenses,9369009
